method,distribution,n,m,load_factor,num_hash_functions,trial,insert_time_total,insert_time_per_op,search_time_total,search_time_per_op,search_comparisons_total,search_comparisons_avg,max_chain_length,average_chain_length,non_empty_buckets,empty_buckets,chain_length_stdev,collision_count,unique_keys,p,coefficients
universal,sorted,1000,2000,0.5,3,13,0.002443125002173474,2.4431250021734743e-06,0.0010067090006486978,2.013418001297396e-06,1146,2.292,5,0.5,717,1283,0.8080841540334769,283,1000,2.305843009213694e+18,"[[2277903568736387890, 452514279465990313], [2303280692498563247, 697951185415921787], [183691764838410618, 423743168849403417]]"
fixed,sorted,1000,2000,0.5,1,14,0.0012985829998797271,1.2985829998797271e-06,0.0003319590032333508,6.639180064667016e-07,500,1.0,1,0.5,1000,1000,0.5,0,1000,,
universal,sorted,1000,2000,0.5,3,14,0.002552709000156028,2.5527090001560283e-06,0.000929834000999108,1.8596680019982159e-06,960,1.92,4,0.5,773,1227,0.7190271204899019,227,1000,2.305843009213694e+18,"[[1956076132499880650, 26508845497723367], [1505952038662606745, 694384076709536977], [1251442079079685814, 2146666122401106131]]"
fixed,sorted,1000,2000,0.5,1,15,0.001305833000515122,1.305833000515122e-06,0.00033354200058965944,6.670840011793189e-07,500,1.0,1,0.5,1000,1000,0.5,0,1000,,
universal,sorted,1000,2000,0.5,3,15,0.002458041999489069,2.4580419994890688e-06,0.0009547499976179097,1.9094999952358192e-06,746,1.492,3,0.5,837,1163,0.648074069840786,163,1000,2.305843009213694e+18,"[[847978861133403702, 1395714462194184430], [518482636670340538, 740682746084312398], [1100716632290196263, 2269261073193213249]]"
fixed,sorted,1000,2000,0.5,1,16,0.001301333999435883,1.301333999435883e-06,0.0003329999999550637,6.659999999101273e-07,500,1.0,1,0.5,1000,1000,0.5,0,1000,,
universal,sorted,1000,2000,0.5,3,16,0.0025529999984428287,2.5529999984428286e-06,0.000932459002797259,1.864918005594518e-06,843,1.686,4,0.5,804,1196,0.6855654600401044,196,1000,2.305843009213694e+18,"[[454612962106966139, 1702438209959121919], [2265420330264173236, 463866247378689703], [443667755326800348, 934787930118675060]]"
fixed,sorted,1000,2000,0.5,1,17,0.0013010409966227598,1.3010409966227598e-06,0.0003297500006738119,6.595000013476238e-07,500,1.0,1,0.5,1000,1000,0.5,0,1000,,
universal,sorted,1000,2000,0.5,3,17,0.0024969160003820434,2.4969160003820434e-06,0.0009115409993682988,1.8230819987365975e-06,798,1.596,3,0.5,836,1164,0.6526867548832288,164,1000,2.305843009213694e+18,"[[195095767942445094, 1500048066919629750], [1059562453095694534, 313986444720046481], [691564608163384468, 53651072377497930]]"
fixed,sorted,1000,2000,0.5,1,18,0.0013335000003280584,1.3335000003280584e-06,0.0003359580005053431,6.719160010106862e-07,500,1.0,1,0.5,1000,1000,0.5,0,1000,,
universal,sorted,1000,2000,0.5,3,18,0.0025467500017839484,2.5467500017839486e-06,0.0009208750016114209,1.8417500032228418e-06,923,1.846,5,0.5,723,1277,0.7745966692414834,277,1000,2.305843009213694e+18,"[[653524007492807808, 355415340864572460], [529539352426941228, 1114891161808553618], [2041277660056489008, 2248875904457507991]]"
fixed,sorted,1000,2000,0.5,1,19,0.0012904159993922804,1.2904159993922803e-06,0.00032870799986994825,6.574159997398965e-07,500,1.0,1,0.5,1000,1000,0.5,0,1000,,
universal,sorted,1000,2000,0.5,3,19,0.0024452079996990506,2.4452079996990506e-06,0.0009014999995997641,1.8029999991995282e-06,764,1.528,3,0.5,829,1171,0.6572670690061994,171,1000,2.305843009213694e+18,"[[418983635330710152, 499844581152741729], [2091481658804620576, 676363097439722673], [1853845312400714918, 63921434307813850]]"
